TO,SS,Note,OldSoundSpel,,Rondthaler,Pronunciation,OtherTO,BritishTO,OtherSS,BritishSS ?,AltSpeling1,AltSpeling2,longNote
A [ae],A [ae],,,NA,,,,,,,,,
a,a,,,,a,,,,,,,,
aah,aa,,aa,T,aa,,,,,,,,
aback,abak,,abak,T,abak,,,,,,,,
abacus,abacus,,abacus,T,abacus,,,,,,,,
abaft,abaft,,abaft,T,abaft,,,,,,,,
abalone,abaloeny,,abaloeny,T,abaloeny,,,,,,,,
abalones,abaloenys,,,,,,,,,,,,
abandon,abandon,,abandon,T,abandon,,,,,,,,
abandoned,abandond,,abandond,T,abandond,,,,,,,,
abandoning,abandoning,,abandoning,T,abandoning,,,,,,,,
abandonment,abandonment,,abandonment,T,abandonment,,,,,,,,
abandonments,abandonments,*,,NA,abandonments,,,,,,,,
abandons,abandons,,,NA,,,,,,,,,
abase,abaess,,abaes,F,abaes,,,,,,,,The terminal double ss blocks a faulty plural pronunciation
abased,abaest,,,,,,,,,,,,
abasement,abaesment,,abaesment,T,abaesment,,,,,,,,
abasements,abaesments,,,,,,,,,,,,
abash,abash,,,,abash,,,,,,,,
abashed,abasht,,,NA,,,,,,,,,
abasing,abaesing,,,,,,,,,,,,
abate,abaet,,abaet,T,abaet,,,,,,,,
abated,abaeted,,abaeted,T,abaeted,,,,,,,,
abatement,abaetment,,abaetment,T,abaetment,,,,,,,,
abatements,abaetments,,,NA,,,,,,,,,
abates,abaets,,,NA,,,,,,,,,
abating,abaeting,,,NA,,,,,,,,,
abattoir,abatwar,,abatwar,T,abatwar,,,,,,,,
abattoirs,abatwars,,,,,,,,,,,,
abbe,abae,,abay,F,abae,,,,,,,,
abbes,abaes,,abays,F,abaez,,,,,,,,
abbess,abes,,abis,F,abis,,,,,,,,"Rondthaler is inconsistent. He spells 'abis' but 'waetres.' TO 'abbess' undeniably has the female suffix, hence SoundSpel ""abes"""
abbey,aby,,aby,T,aby,,,,,,,,
abbeys,abys,,abys,T,abyz,,,,,,,,
abbot,abot,,abot,T,abot,,,,,,,,
abbots,abots,,,NA,,,,,,,,,
abbreviate,abreeviaet,,abreeviaet,T,abreevyaet,,,,,,,,
abbreviated,abreeviaeted,,abreeviaeted,T,abreevyaeted,,,,,,,,
abbreviates,abreeviaets,,,NA,,,,,,,,,
abbreviating,abreeviaeting,,abreeviaeting,T,abreevyaeting,,,,,,,,
abbreviation,abreeviaeshon,,abreeviaeshun,F,abreevyaeshon,,,,,,,,
abbreviations,abreeviaeshons,,abreeviaeshuns,F,abreevyaeshons,,,,,,,,
abdicate,abdicaet,,abdicaet,T,abdicaet,,,,,,,,
abdicated,abdicaeted,,,NA,,,,,,,,,
abdicates,abdicaets,,,NA,,,,,,,,,
abdicating,abdicaeting,,,NA,,,,,,,,,
abdication,abdicaeshon,,abdicaeshun,F,abdicaeshon,,,,,,,,
abdications,abdicaeshons,,,NA,,,,,,,,,
abdomen,abdomen,,abdomen,T,abdomen,,,,,,,,
abdomens,abdomens,,,NA,,,,,,,,,
abdominal,abdominal,,abdominal,T,abdominal,,,,,,,,
abdominally,abdominaly,,,NA,,,,,,,,,
abduct,abdukt,,abduct,F,abduct,,,,,,,,
abducted,abdukted,,,NA,abducted,,,,,,,,
abducting,abdukting,,,NA,,,,,,,,,
abduction,abdukshon,,abducshun,F,,,,,,,,,
abductions,abdukshons,,,NA,,,,,,,,,
abductor,abduktor,,abductor,F,abductor,,,,,,,,
abductors,abduktors,,,NA,,,,,,,,,
abducts,abdukts,,,NA,,,,,,,,,
Abe,Aeb,,,,,,,,,,,,
abed,abed,,abed,T,,,,,,,,,
aberrance,aberranss,,aberans,F,aburans,,,,,,,,
aberrant,aberrant,,aberant,F,aburant,,,,,,,,
aberrantly,aberrantly,,,NA,,,,,,,,,
aberration,aberaeshon,,aberaeshun,F,aberaeshun,,,,,,,,
aberrational,aberaeshonal,,,NA,,,,,,,,,
aberrations,aberaeshons,,aberaeshuns,F,aberaeshuns,,,,,,,,
abet,abet,,abet,T,abet,,,,,,,,
abets,abets,,,NA,,,,,,,,,
abetted,abeted,,abeted,T,abeted,,,,,,,,
abetter,abeter,,,,,,,,,,,,
abetters,abeters,,,,,,,,,,,,
abetting,abeting,,abeting,T,abeting,,,,,,,,
abettor,abetor,,abetor,T,abetor,,,,,,,,
abettors,abetors,,,,,,,,,,,,
abeyance,abaeanss,,abaeans,F,abaeans,,,,,,,,
abhor,abhor,,abhor,F,abhor,,,,,,,,
abhored,abhord,,,NA,abhord,,,,,,,,
abhorrence,abhorenss,,abhorens,F,abhorens,,,,,,,,
abhorrent,abhorent,,abhorent,F,abhorent,,,,,,,,
abhorrently,abhorently,,,NA,,,,,,,,,
abhorring,abhoring,,abhoring,F,abhoring,,,,,,,,
abhors,abhors,,,NA,,,,,,,,,
abide,abied,,abied,T,abied,,,,,,,,
abides,abieds,,abieds,T,abiedz,,,,,,,,
abiding,abieding,,abieding,T,abieding,,,,,,,,
Abigail,Abigael,,,NA,,,,,,,,,
abilities,abilitys,,abilitys,T,abilityz,,,,,,,,
ability,ability,,ability,T,ability,,,,,,,,
abject,abjekt,,abject,F,abject,,,,,,,,
abjection,abjekshon,,abjecshun,F,abjecshun,,,,,,,,
abjections,abjekshons,,,NA,,,,,,,,,
abjectly,abjektly,,abjectly,F,abjectly,,,,,,,,
abjuration,abjuuraeshon,,,NA,,,,,,,,,
abjurations,abjuuraeshons,,,NA,,,,,,,,,
abjure,abjuur,,abjur,F,abjuur,,,,,,,,
abjured,abjuurd,,,NA,,,,,,,,,
abjures,abjuurs,,,NA,,,,,,,,,
abjuring,abjuuring,,,NA,,,,,,,,,
ablate,ablaet,,,NA,,,,,,,,,
ablated,ablaeted,,,NA,,,,,,,,,
ablates,ablaets,,,NA,,,,,,,,,
ablating,ablaeting,,,NA,,,,,,,,,
ablation,ablaeshon,,ablaeshun,F,ablaeshun,,,,,,,,
ablations,ablaeshons,,,NA,,,,,,,,,
ablative,ablativ,,ablativ,T,ablativ,,,,,,,,
ablatives,ablativs,,,NA,,,,,,,,,
ablaze,ablaez,,ablaez,T,ablaez,,,,,,,,
able,aebl,,aebl,T,aebl,,,,,,,,
abler,aebler,,aebler,T,aebler,,,,,,,,
ables,aebls,*,,NA,,,,,,,,,
ablest,aeblest,,,NA,,,,,,,,,
abling,aebling,*,,NA,,,,,,,,,
ablution,ablooshon,,ablooshun,F,ablooshun,,,,,,,,
ablutions,ablooshons,,,NA,,,,,,,,,
ably,aebly,,aebly,T,aebly,,,,,,,,
abnegate,abnegaet,,,NA,,,,,,,,,
abnegated,abnegaeted,,,NA,,,,,,,,,
abnegates,abnegaets,,,NA,,,,,,,,,
abnegating,abnegaeting,,,NA,,,,,,,,,
abnegation,abnegaeshon,,abnegaeshun,F,abnegaeshun,,,,,,,,
abnegations,abnegaeshons,,,NA,,,,,,,,,
abnormal,abnormal,,abnormal,T,abnormal,,,,,,,,
abnormalities,abnormalitys,,abnormalitys,T,abnormalityz,,,,,,,,
abnormality,abnormality,,abnormality,T,abnormality,,,,,,,,
abnormally,abnormaly,,abnormaly,T,,,,,,,,,
aboard,abord,,abord,T,abord,,,,,,,,
abode,aboed,,aboed,T,aboed,,,,,,,,
abodes,aboeds,,,NA,,,,,,,,,
abolish,abolish,,abolish,T,abolish,,,,,,,,
abolished,abolisht,,abolisht,T,abolisht,,,,,,,,
abolishes,abolishes,,,NA,,,,,,,,,
abolishing,abolishing,,,NA,,,,,,,,,
abolition,abolishon,,abolishun,F,abolishun,,,,,,,,
abolitionism,abolishonizm,,abolishunizm,F,abolishunizm,,,,,,,,
abolitionist,abolishonist,,abolishunist,F,abolishunist,,,,,,,,
abolitionists,abolishonists,,abolishunists,F,abolishunists,,,,,,,,
abominable,abominabl,,abominabl,T,abominabl,,,,,,,,
abominably,abominably,,,NA,,,,,,,,,
abominate,abominaet,,,,abominaet,,,,,,,,
abominated,abominiaeted,,,,,,,,,,,,
abominates,abominaets,,,,,,,,,,,,
abominating,abominaeting,,,,,,,,,,,,
abomination,abominaeshon,,abominaeshun,F,abominaeshun,,,,,,,,
abominations,abominaeshons,,,NA,,,,,,,,,
aboriginal,aborijinal,,aborijinal,T,aborijinal,,,,,,,,
aborigine,aborijinee,,aborijinee,T,aborijinee,,,,,,aborijiny,,
aborigines,aborijinees,,aborijinees,T,aborijineez,,,,,,aborijinys,,
abort,abort,,abort,T,abort,,,,,,,,
aborted,aborted,,,NA,,,,,,,,,
aborting,aborting,,,NA,,,,,,,,,
abortion,aborshon,,aborshun,F,aborshun,,,,,,,,
abortionist,aborshonist,,aborshunist,F,aborshunist,,,,,,,,
abortionists,aborshonists,,,NA,,,,,,,,,
abortions,aborshons,,aborshuns,F,aborshunz,,,,,,,,
abortive,abortiv,,abortiv,T,abortiv,,,,,,,,
abortively,abortivly,,,NA,,,,,,,,,
aborts,aborts,,,NA,,,,,,,,,
abound,abound,,abound,T,abound,,,,,,,,
abounded,abounded,,abounded,T,abounded,,,,,,,,
abounding,abounding,,abounding,T,abounding,,,,,,,,
abounds,abounds,,abounds,T,aboundz,,,,,,,,
about,about,,about,T,about,,,,,,,,
above,abuv,,abuv,T,abuv,,,,,,,,
aboveboard,abuvbord,,abuvbord,T,abuvbord,,,,,,,,
aboveground,abuvground,,abuvground,T,abuvground,,,,,,,,
abovementioned,abuvmenshond,,,NA,,,,,,,,,
abrade,abraed,,abraed,T,abraed,,,,,,,,
abraded,abraeded,,,NA,,,,,,,,,
abrader,abraeder,,,NA,,,,,,,,,
abraders,abraeders,,,NA,,,,,,,,,
abrades,abraeds,,,NA,,,,,,,,,
abrading,abraeding,,,NA,,,,,,,,,
Abraham,Aebraham,,,,,,,,,,,,
abrasion,abraezhon,,abraezhun,F,abraezhun,,,,,,,,
abrasions,abraezhons,,,NA,,,,,,,,,
abrasive,abraesiv,,abraesiv,T,abraesiv,,,,,,,,
abrasively,abraesivly,,,NA,,,,,,,,,
abrasiveness,abraesivnes,,,NA,,,,,,,,,
abreact,abreakt,,abriact,F,abryact,,,,,,,,
abreacted,abreakted,,,NA,,,,,,,,,
abreacting,abreakting,,,NA,,,,,,,,,
abreaction,abreakshon,,abryacshun,F,abryacshun,,,,,,,,
abreactions,abreakshons,,,NA,,,,,,,,,
abreacts,abreakts,,,NA,,,,,,,,,
abreast,abrest,,abrest,T,abrest,,,,,,,,
abridge,abrij,,abrij,T,abrij,,,,,,,,
abridged,abrijd,,abrijd,T,abrijd,,,,,,,,
abridgement,abrijment,,,NA,,,,,,,,,
abridgements,abrijments,,,NA,,,,,,,,,
abridges,abrijes,,,NA,,,,,,,,,
abridging,abrijing,,abrijing,T,,,,,,,,,
abridgment,abrijment,,,,abrijment,,,,,,,,
abridgments,abrijments,,,,abrijments,,,,,,,,
abroad,abraud,,abraud,T,abraud,,,,,,,,
abrogate,abrogaet,,abrogaet,T,abrogaet,,,,,,,,
abrogated,abrogaeted,,abrogaeted,T,abrogaeted,,,,,,,,
abrogates,abrogaets,,,NA,,,,,,,,,
abrogating,abrogaeting,,,NA,,,,,,,,,
abrogation,abrogaeshon,,abrogaeshun,F,abrogaeshun,,,,,,,,
abrogations,abrogaeshons,,,NA,,,,,,,,,
abrupt,abrupt,,abrupt,T,abrupt,,,,,,,,
abruptly,abruptly,,abruptly,T,abruptly,,,,,,,,
abruptness,abruptnes,,abruptnes,T,abruptnes,,,,,,,,
abscess,absess,,abses,F,abses,,,,,,,,
abscesses,abseses,,abseses,T,absesez,,,,,,,,
abscissa,absisa,,absisa,T,absisa,,,,,,,,
abscissas,absisas,,,NA,,,,,,,,,
abscond,abscond,,abscond,T,abscond,,,,,,,,
absconded,absconded,,,NA,,,,,,,,,
absconder,absconder,,absconder,T,absconder,,,,,,,,
absconders,absconders,,,NA,,,,,,,,,
absconding,absconding,,,NA,,,,,,,,,
absconds,absconds,,,NA,,,,,,,,,
absence,absenss,,,,absens,,,,,,,,
absences,absenses,,,,absensez,,,,,,,,
absent,absent,,absent,T,absent,,,,,,,,
absented,absented,,absented,T,absented,,,,,,,,
absentee,absentee,,absentee,T,absentee,,,,,,,,
absenteeism,absenteeizm,,absenteeizm,T,absenteeizm,,,,,,,,
absentees,absentees,,,NA,,,,,,,,,
absentia,absensha,,absentia,F,absentia,,,,,,,,
absently,absently,,absently,T,absently,,,,,,,,
absentminded,absentmiended,,absentmiended,T,absentmiended,,,,,,,,
absentmindedly,absentmiendedly,,absentmiendedly,T,absentmiendedly,,,,,,,,
absentmindedness,absentmiendednes,,,NA,,,,,,,,,
absinthe,absinth,,absinth,T,absinth,,,,,,,,
absolute,absoloot,,absoloot,T,absoloot,,,,,,,,
absolutely,absolootly,,absolootly,T,absolootly,,,,,,,,
absoluteness,absolootnes,,absolootnes,T,absolootnes,,,,,,,,
absolutes,absoloots,,absoloots,T,absoloots,,,,,,,,
absolution,absolooshon,,absolooshun,F,absolooshun,,,,,,,,
absolutions,absolooshons,,,NA,,,,,,,,,
absolutism,absolootizm,,absolootizm,T,absolootizm,,,,,,,,
absolutist,absolootist,,,NA,,,,,,,,,
absolutists,absolootists,,,NA,,,,,,,,,
absolve,abzolv,,abzolv,T,abzolv,,,,,,,,
absolved,abzolvd,,,NA,,,,,,,,,
absolves,abzolvs,,,NA,,,,,,,,,
absolving,abzolving,,,NA,,,,,,,,,
absorb,absorb,,absorb,T,absorb,,,,,,,,
absorbed,absorbd,,absorbd,T,absorbd,,,,,,,,
absorbency,absorbensy,,absorbensy,T,absorbensy,,,,,,,,
absorbent,absorbent,,absorbent,T,absorbent,,,,,,,,
absorbents,absorbents,,,NA,,,,,,,,,
absorber,absorber,,absorber,T,absorber,,,,,,,,
absorbers,absorbers,,,NA,,,,,,,,,
absorbing,absorbing,,absorbing,T,absorbing,,,,,,,,
absorbingly,absorbingly,,,NA,,,,,,,,,
absorbs,absorbs,,absorbs,T,absorbz,,,,,,,,
absorption,absorpshon,,absorpshun,F,absorpshun,,,,,,,,
absorptions,absorpshons,,absorpshuns,F,absorpshunz,,,,,,,,
absorptive,absorptiv,,absorptiv,T,absorptiv,,,,,,,,
absorptively,absorptivly,,,NA,,,,,,,,,
abstain,abstaen,,abstaen,T,abstaen,,,,,,,,
abstained,abstaend,,,NA,,,,,,,,,
abstaining,abstaening,,abstaening,T,abstaening,,,,,,,,
abstains,abstaens,,,NA,,,,,,,,,
abstemious,absteemius,,absteemius,T,absteemius,,,,,,,,
abstention,abstenshon,,abstenshun,F,abstenshun,,,,,,,,
abstentions,abstenshons,,,NA,,,,,,,,,
abstinence,abstinenss,,abstinens,F,abstinens,,,,,,,,
abstinent,abstinent,,abstinent,T,abstinent,,,,,,,,
abstinently,abstinently,,,NA,,,,,,,,,
abstract,abstrakt,,abstract,F,,,,,,,,,
abstracted,abstrakted,,abstracted,F,,,,,,,,,
abstractedness,abstraktednes,,,,abstractednes,,,,,,,,
abstracting,abstrakting,,abstracting,F,abstracting,,,,,,,,
abstraction,abstrakshon,,abstracshun,F,abstracshun,,,,,,,,
abstractionism,abstrakshonizm,,,,abstracshunizm,,,,,,,,
abstractionist,abstrakshonist,,,,,,,,,,,,
abstractionists,abstrakshonists,,,,abstracshunists,,,,,,,,
abstractions,abstrakshons,,abstracshuns,F,abstracshuns,,,,,,,,
abstractive,abstraktiv,,abstractiv,F,abstraktiv,,,,,,,,
abstractively,abstraktivly,*,,NA,abstraktivly,,,,,,,,
abstractly,abstraktly,,,,abstractly,,,,,,,,
abstractness,abstraktnes,,,,abstractnes,,,,,,,,
abstractor,abstraktor,,,,,,,,,,,,
abstractors,abstraktors,,,,abstractors,,,,,,,,
abstracts,abstrakts,,abstracts,F,,,,,,,,,
abstruse,abstrooss,,abstroos,F,abstroos,,,,,,,,
abstrusely,abstroosly,,,NA,,,,,,,,,
abstruseness,abstroosnes,,abstroosnes,T,abstroosnes,,,,,,,,
abstrusenesses,abstroosneses,,,,abstroosnesez,,,,,,,,
absurd,absurd,,abserd,F,,,,,,,,,
absurdities,absurditys,,,,absurditys,,,,,,,,
absurdity,absurdity,,abserdity,F,absurdity,,,,,,,,
absurdly,absurdly,,abserdly,F,,,,,,,,,
absurdness,absurdnes,,,NA,,,,,,,,,
abundance,abundanss,,,,abundans,,,,,,,,
abundances,,,,,,,,,,,,,
abundant,abundant,,,,abundant,,,,,,,,
abundantly,abundantly,,,,abundantly,,,,,,,,
abuse,abuess,N.,abues,F,abues,,,,,,,,
abuse,abuez,V.,abues,F,abuez,,,,,,,,
abused,abuezd,,abuezd,T,,,,,,,,,
abuses,abueses,,,,abuesez,,,,,,,,
abuses,abuezes,,abueses,F,,,,,,,,,
abusing,abuezing,,abuezing,T,abuezing,,,,,,,,
abusive,abuesiv,,abuesiv,T,abuesiv,,,,,,,,
abusively,abuesivly,,abuesivly,T,abuesivly,,,,,,,,
abusiveness,abuesivnes,,,,abuesivnes,,,,,,,,
abut,abut,,abut,T,abut,,,,,,,,
abutment,abutment,,,,abutment,,,,,,,,
abutments,abutments,,,,abutments,,,,,,,,
abutted,abuted,,,,abuted,,,,,,,,
abutter,abuter,,,,abuter,,,,,,,,
abutters,abuters,,,,,,,,,,,,
abutting,abuting,,,,abuting,,,,,,,,
abysmal,abizmal,,abizmal,T,abizmal,,,,,,,,
abysmally,abizmaly,,,NA,,,,,,,,,
abyss,abis,,abis,T,abis,,,,,,,,
acacia,acaesha,,,,acaesha,,,,,,,,
acacias,acaeshas,,,,,,,,,,,,
academic,academik,,,,academic,,,,,,,,
academically,academikaly,,,,academicaly,,,,,,,,
academician,academishan,,,,academishan,,,,,,,,
academicians,academishans,,,,,,,,,,,,
academics,academiks,,,,academics,,,,,,,,
academies,academys,,,,academys,,,,,,,,
academy,academy,,,,academy,,,,,,,,
accede,akseed,,,,acseed,,,,,,,,
acceded,akseeded,,,,acseeded,,,,,,,,
accedes,akseeds,,,,,,,,,,,,
acceding,akseeding,,,,,,,,,,,,
accelerando,akseleraando,,,,acseleraando,,,,,,,,
accelerant,akselerant,,,,,,,,,,,,
accelerants,akselerants,,,,,,,,,,,,
accelerate,akseleraet,,,,acseleraet,,,,,,,,
accelerated,akseleraeted,,,,acseleraeted,,,,,,,,
accelerates,akseleraets,,,,,,,,,,,,
accelerating,akseleraeting,,,,acseleraeting,,,,,,,,
acceleration,akseleraeshon,,,,acseleraeshun,,,,,,,,
accelerations,akseleraeshons,,,,acseleraeshunz,,,,,,,,
accelerator,akseleraetor,,,,acseleraetor,,,,,,,,
accelerators,akseleraetors,,,,acseleraetorz,,,,,,,,
accelerometer,akselerometer,,,,acselerometer,,,,,,,,
accelerometers,akselerometers,,,,acselerometers,,,,,,,,
accent,aksent,,,,acsent,,,,,,,,
accented,aksented,,,,acsented,,,,,,,,
accenting,aksenting,,,,acsenting,,,,,,,,
accents,aksents,,,,acsents,,,,,,,,
accentual,aksenchual,,,,acsenchooal,,,,,,,,
accentuate,aksenchuaet,,,,acsenchooaet,,,,,,,,
accentuated,aksenchuaeted,,,,acsenchooaeted,,,,,,,,
accentuates,aksenchuaets,,,,acsenchooaets,,,,,,,,
accentuating,aksenchuaeting,,,,,,,,,,,,
accept,aksept,,,,acsept,,,,,,,,
acceptabilities,akseptabilitys,,,,,,,,,,,,
acceptability,akseptability,,,,acseptability,,,,,,,,
acceptable,akseptabl,,,,acseptabl,,,,,,,,
acceptably,akseptably,,,,,,,,,,,,
acceptance,akseptanss,,,,acseptans,,,,,,,,
acceptances,akseptanses,,,,acseptanses,,,,,,,,
acceptation,akseptaeshon,,,,acseptaeshun,,,,,,,,
acceptations,akseptaeshons,,,,,,,,,,,,
accepted,aksepted,,,,acsepted,,,,,,,,
accepting,aksepting,,,,acsepting,,,,,,,,
accepts,aksepts,,,,acsepts,,,,,,,,
access,aksess,,,,acses,,,,,,,,
accessed,aksest,,,,,,,,,,,,
accesses,akseses,,,,acsesez,,,,,,,,
accessibilities,aksesibilitys,,,,,,,,,,,,
accessibility,aksesibility,,,,acsesibility,,,,,,,,
accessible,aksesibl,,,,acsesibl,,,,,,,,
accessibly,aksesibly,,,,,,,,,,,,
accessing,aksesing,,,,acsesing,,,,,,,,
accession,akseshon,,,,acseshun,,,,,,,,
accessions,akseshons,,,,acseshuns,,,,,,,,
accessor,aksesor,,,,,,,,,,,,
accesories,aksesorys,,,,acsesorys,,,,,,,,
accessors,aksesors,,,,acsesors,,,,,,,,
accessory,aksesory,,,,acsesory,,,,,,,,
accidence,aksidenss,,,,acsidens,,,,,,,,
accident,aksident,,,,acsident,,,,,,,,
accidental,aksidental,,,,acsidental,,,,,,,,
accidentally,aksidentaly,,,,acsidentaly,,,,,,,,
accidents,aksidents,,,,acsidents,,,,,,,,
acclaim,aclaem,,,,aclaem,,,,,,,,
acclaimed,aclaemd,,,,aclaemd,,,,,,,,
acclaiming,aclaeming,,,,,,,,,,,,
acclaims,aclaems,,,,aclaemz,,,,,,,,
acclamation,aclamaeshon,,,,aclamaeshun,,,,,,,,
acclamations,aclamaeshons,,,,,,,,,,,,
acclimate,aclimaet,,,,aclimet,,,,,,,,
acclimated,aclimaeted,,,,,,,,,,,,
acclimates,aclimaets,,,,,,,,,,,,
acclimating,aclimaeting,,,,,,,,,,,,
acclimatize,acliematiez,,,,,,,,,,,,
acclimatized,acliematiezd,,,,acliemetiezd,,,,,,,,
acclimatizes,acliematiezes,,,,,,,,,,,,
acclimatizing,acliematiezing,,,,,,,,,,,,
acclivities,aclivitys,,,,,,,,,,,,
acclivity,aclivity,,,,aclivity,,,,,,,,
accolade,acolaed,,,,acolaed,,,,,,,,
accolades,acolaeds,,,,acolaeds,,,,,,,,
accommodate,acomodaet,,,,acomodaet,,,,,,,,
accommodated,acomodaeted,,,,acomodaeted,,,,,,,,
accommodates,acomodaets,,,,acomodaets,,,,,,,,
accommodating,acomodaeting,,,,acomodaeting,,,,,,,,
accommodation,acomodaeshon,,,,acomodaeshun,,,,,,,,
accommodations,acomodaeshons,,,,acomodaeshuns,,,,,,,,
accompanied,acumpanyd,,,,acumpanyd,,,,,,,,
accompanies,acumpanys,,,,acumpanyz,,,,,,,,
accompaniment,acumpaniment,,,,acumpanyment,,,,,,,,
accompaniments,acumpaniments,,,,acumpanyments,,,,,,,,
accompanist,acumpanist,,,,acumpanist,,,,,,,,
accompanists,acumpanists,,,,acumpanists,,,,,,,,
accompany,acumpany,,,,acumpany,,,,,,,,
accompanying,acumpanying,,,,acumpanying,,,,,,,,
accomplice,acomplis,,,,acomplis,,,,,,,,
accomplices,acomplises,,,,acomplisez,,,,,,,,
accomplish,acomplish,,,,acomplish,,,,,,,,
accomplished,acomplisht,,,,acomplisht,,,,,,,,
accomplishes,acomplishes,,,,acomplishes,,,,,,,,
accomplishing,acomplishing,,,,acomplishing,,,,,,,,
accomplishment,acomplishment,,,,acomplishment,,,,,,,,
accomplishments,acomplishments,,,,,,,,,,,,
accord,acord,,acord,T,acord,,,,,,,,
accordance,acordanss,,,,acordans,,,,,,,,
accordances,acordanses,,,,,,,,,,,,
accorded,acorded,,acorded,T,acorded,,,,,,,,
according,acording,,acording,T,acording,,,,,,,,
accordingly,acordingly,,acordingly,T,acordingly,,,,,,,,
accordion,acordion,,,,acordion,,,,,,,,
accordions,acordions,,,,acordions,,,,,,,,
accords,acords,,acords,T,acordz,,,,,,,,
accost,acost,,,,acost,,,,,,,,
accosted,acosted,,,,acosted,,,,,,,,
accosting,acosting,,,,acosting,,,,,,,,
accosts,acosts,,,,,,,,,,,,
account,acount,,,,acount,,,,,,,,
accountabilities,acountabilitys,,,,,,,,,,,,
accountability,acountability,,,,acountability,,,,,,,,
accountable,acountabl,,,,acountabl,,,,,,,,
accountably,acountably,,,,,,,,,,,,
accountancies,acountansys,,,,,,,,,,,,
accountancy,acountansy,,,,acountansy,,,,,,,,
accountant,acountant,,,,acountant,,,,,,,,
accountants,acountants,,,,acountants,,,,,,,,
accounted,acounted,,,,acounted,,,,,,,,
accounting,acounting,,,,acounting,,,,,,,,
accounts,acounts,,,,acounts,,,,,,,,
accouterment,acooterment,,,,acooterment,,,,,,,,
accouterments,acooterments,,,,acooterments,,,,,,,,
accredit,acredit,,,,acredit,,,,,,,,
accreditation,acreditaeshon,,,,acreditaeshun,,,,,,,,
accreditations,acreditaeshons,,,,,,,,,,,,
accredited,acredited,,,,acredited,,,,,,,,
accrediting,acrediting,,,,,,,,,,,,
acredits,acredits,,,,,,,,,,,,
accretion,acreeshon,,,,acreeshun,,,,,,,,
accretions,acreeshons,,,,acreeshunz,,,,,,,,
accrual,acrooal,,,,acrooal,,,,,,,,
accrue,acroo,,,,acroo,,,,,,,,
accrued,acrood,,,,acrood,,,,,,,,
accrues,acroos,,,,acroos,,,,,,,,
accruing,acrooing,,,,acrooing,,,,,,,,
acculturate,aculcheraet,,,,,,,,,,,,
acculturated,aculcheraeted,,,,aculcheraeted,,,,,,,,
acculturates,aculcheraets,,,,,,,,,,,,
acculturating,aculcheraeting,,,,,,,,,,,,
acculturation,aculcheraeshon,,,,aculcheraeshun,,,,,,,,
acculturations,aculcheraeshons,,,,,,,,,,,,
accumulate,acuemuelaet,,acuemuelaet,F,acuemuelaet,,,,,,,,
accumulated,acuemuelaeted,,acuemuelaeted,F,acuemuelaeted,,,,,,,,
accumulates,acuemuelaets,,acuemuelaets,F,acuemuelaets,,,,,,,,
accumulating,acuemuelaeting,,acuemuelaeting,F,acuemuelaeting,,,,,,,,
accumulation,acuemuelaeshon,,acuemuelaeshun,F,acuemuelaeshun,,,,,,,,
accumulations,acuemuelaeshons,,,NA,,,,,,,,,
accumulative,acuemuelaetiv,,,,,,,,,,,,
accumulator,acuemuelaetor,,acuemuelaetor,F,,,,,,,,,
accumulators,acuemulaetors,,,NA,,,,,,,,,
accuracies,acurasys,,,,,,,,,,,,
accuracy,acurasy,,,,acurasy,,,,,,,,
accurate,acurat,,,,acuret,,,,,,,,
accurately,acuratly,,,,acuretly,,,,,,,,
accursed,acurst,,,,acurst,,,,,,,,
accusation,acuezaeshon,,,,acuezaeshun,,,,,,,,
accusations,acuezaeshons,,,,acuezaeshuns,,,,,,,,
accusative,acuezativ,,,,acuezativ,,,,,,,,
accusatively,acuezativly,,,,,,,,,,,,
accusatory,acuezatory,,,,acuezatory,,,,,,,,
accuse,acuez,,,,acuez,,,,,,,,
accused,acuezd,,,,acuezd,,,,,,,,
accuses,acuezes,,,,acuezez,,,,,,,,
accusing,acuezing,,,,acuezing,,,,,,,,
accusingly,acuezingly,,,,acuezingly,,,,,,,,
accustom,acustom,,,,acustom,,,,,,,,
accustomed,acustomd,,,,acustomd,,,,,,,,
accustoming,acustoming,,,,,,,,,,,,
accustoms,acustoms,,,,,,,,,,,,
ace,aess,,aes,F,aes,,,,,,,,
acerbic,asurbik,,,NA,,,,,,,,,
acerbically,asurbikaly,,,NA,,,,,,,,,
acerbity,asurbity,,aserbity,F,asurbity,,,,,,,,
aces,aeses,,aeses,T,aeses,,,,,,,,
acetate,asetaet,,asetaet,T,asetaet,,,,,,,,
acetic,aseetik,,asetic,F,asetic,,,,,,,,
acetone,asetoen,,asetoen,T,asetoen,,,,,,,,
acetonemia,asetoeneemia,,asetoeneemia,T,asetoeneemia,,,,,,,,
acetylene,asetileen,,asetileen,T,asetileen,,,,,,,,
ache,aek,,aek,T,aek,,,,,,,,
ached,aekt,,aekt,T,aekt,,,,,,,,
aches,aeks,,aeks,T,aeks,,,,,,,,
achieve,acheev,,acheev,T,acheev,,,,,,,,
achieved,acheevd,,acheevd,T,acheevd,,,,,,,,
achievement,acheevment,,acheevment,T,acheevment,,,,,,,,
achievements,acheevments,,acheevments,T,acheevments,,,,,,,,
achieves,acheevs,,acheevs,T,acheevs,,,,,,,,
achieving,acheeving,,acheeving,T,acheeving,,,,,,,,
