ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
11	that	that	cs	0.07	  	3921414	8445.32	7303.43	8529.15	7642.72	8159.12	8173.44	11721.96	5711.03	7831.18	7256.74	9563.24	8904.56	6356.53	6010.47	5529.11	7964.32	9516.58	7760.78	0.97	0.98	1.00	0.94	0.88	0.98	0.98	0.94	0.96	0.97	0.99	0.97	0.99	1.00	0.98	0.99	1.00	0.98	730343	852915	746336	974220	1070205	1120210	516445	748338	665570	870888	88722	101128	43648	57870	131373	145905	161697	183517	3990	21985	39856	34780	10709	37685	18164	50925	55596	21147	876	461	210	510	531	501	901
12	for	for	ii	0.07	  	3787585	8157.10	8253.02	7319.81	7560.57	7533.73	7024.17	7459.64	6309.93	8729.55	9218.25	9053.34	6461.58	6691.43	9124.50	10299.89	9000.20	8367.65	9774.34	0.99	0.99	1.00	0.96	0.93	0.98	0.99	0.97	0.99	0.99	1.00	1.00	1.00	1.00	0.99	1.00	1.00	1.00	825302	731981	738314	899546	919723	712881	570603	834185	845474	824453	64381	106456	66262	107803	148460	128290	203650	186915	4030	21985	40824	36696	10708	37787	18609	52607	56705	21207	897	463	210	513	533	501	913
13	you	you	pp	0.17	  	3568520	7685.31	6614.90	51035.20	7355.25	7314.26	6036.75	17140.21	10761.58	6009.35	3199.71	986.81	26926.84	13043.43	5510.20	1797.56	1867.88	685.64	4105.37	0.81	0.89	1.00	0.36	0.31	0.47	0.96	0.93	0.81	0.78	0.48	1.01	1.00	1.00	0.90	0.87	0.67	0.86	661490	5103520	718264	873341	790434	1638005	973163	574246	293469	89865	268290	207512	40015	18814	30811	10512	85536	152378	3627	21985	15268	12315	5118	36603	17852	43335	44355	10233	906	462	210	465	463	337	784
14	was	be	vbdz	0.01	  	3384649	7289.32	8725.73	6909.42	10092.20	10602.53	9767.91	7800.68	12102.25	5568.66	6017.86	5058.96	8392.09	15899.05	5593.65	8500.33	8420.21	6693.66	7914.84	0.90	0.97	1.00	0.86	0.87	0.93	0.93	0.94	0.80	0.93	0.95	0.97	0.99	1.00	0.98	0.99	0.98	0.94	872573	690942	985536	1265969	1278981	745473	1094399	532134	551943	460700	83616	252943	40621	88968	138893	102625	164907	169626	3933	21985	36618	34328	10160	35644	18172	42427	53254	20129	876	461	210	506	531	491	858
15	he	he	pp	0.30	  	3323458	7157.53	6333.89	7726.87	11817.02	11511.19	9773.35	7400.62	14184.84	5192.28	7055.80	2089.12	7552.44	16573.00	3891.50	7232.56	3041.86	2334.06	5018.15	0.80	0.92	1.00	0.79	0.75	0.88	0.87	0.91	0.69	0.88	0.66	0.89	1.00	0.99	0.95	0.98	0.95	0.85	633389	772687	1153970	1374465	1279693	707241	1282727	496168	647140	190248	75250	263665	28260	75699	50176	35785	104554	151779	3745	21962	33638	29775	9536	33415	17495	36512	50343	14014	797	463	209	494	522	477	783
16	with	with	ii	0.04	  	3095076	6665.68	6508.30	6098.61	6628.54	7011.68	7935.57	5720.07	6784.76	7358.32	6673.06	6808.19	4718.75	7325.14	7674.62	6709.46	6646.61	6811.46	7067.43	0.98	0.99	1.00	0.91	0.87	0.97	0.97	0.97	0.98	0.99	1.00	0.97	1.00	1.00	0.99	1.00	1.00	0.99	650830	609861	647298	837212	1039059	546639	613542	703152	612036	619996	47016	116538	55733	70224	109637	104431	147251	185606	4006	21984	38939	34478	10527	37158	18626	52225	56393	21204	877	463	210	515	532	501	908
17	on	on	ii	0.05	  	2871374	6183.91	6417.23	3916.70	5997.28	5348.41	4625.34	6122.29	6409.43	6326.31	6397.21	5660.04	6161.39	6172.05	6954.98	7448.01	7653.14	5600.56	6794.91	0.98	0.99	1.00	0.92	0.86	0.95	0.98	0.96	0.97	0.99	1.00	0.98	1.00	1.00	0.99	1.00	1.00	0.99	641723	391670	585654	638614	605628	585077	579601	604534	586736	515438	61390	98193	50507	77954	126240	85866	141573	185462	4008	21974	38965	34101	10385	37438	18538	51876	56425	21185	878	463	210	514	532	501	910
18	's	's	ge	0.00	  	2439692	5254.22	4362.83	2752.64	4881.43	3999.74	3361.87	3096.59	5246.68	6039.49	6967.15	4976.35	1652.30	4674.24	5835.73	7687.25	4631.17	3629.74	4347.32	0.94	0.96	1.00	0.87	0.84	0.85	0.88	0.94	0.95	0.99	0.96	0.87	1.00	1.00	0.98	0.99	0.99	0.97	436283	275264	476687	477579	440193	295926	474454	577126	639009	453177	16463	74364	42379	80458	76392	55650	90577	178710	3881	21930	36929	33264	9267	33726	17992	50331	56308	20353	785	463	210	510	530	495	888
19	at	at	ii	0.08	  	2275149	4899.85	5165.15	2880.69	5395.61	5504.03	5205.96	4242.86	5950.30	4958.05	5697.53	3683.32	4775.85	6563.83	5358.31	7344.06	4754.60	3930.95	5280.98	0.97	0.99	1.00	0.88	0.84	0.95	0.95	0.95	0.95	0.98	0.99	0.98	1.00	1.00	0.98	1.00	0.99	0.99	516515	288069	526899	657195	681653	405469	538082	473785	522563	335426	47585	104426	38912	76866	78428	60268	110030	182763	3995	21952	37329	33435	10383	36529	18316	50678	56219	21021	880	463	210	508	533	498	903
20	this	this	dd	0.21	  	2174519	4682.03	4483.28	7907.16	3817.25	4158.86	4821.12	8224.96	3634.65	3510.83	3179.21	4749.17	5808.91	3326.61	4391.63	3234.63	4442.51	6280.01	4905.94	0.94	0.99	1.00	0.74	0.76	0.96	0.98	0.93	0.91	0.94	0.99	0.98	1.00	1.00	0.97	1.00	1.00	0.99	448328	790716	372767	496578	631263	786019	328679	335490	291589	432489	57878	52924	31892	33855	73280	96283	102216	178425	4000	21985	31415	30084	10437	37628	17871	48229	53625	21072	884	462	210	503	532	501	908
